AGE GROUP (YEARS),NUM_WOMEN,Period,Screen,STATE
70+,1,2013,1,NT
70+,71,2013,1,QLD
70+,17,2013,1,SA
70+,5,2013,1,TAS
70+,48,2013,1,VIC
70+,16,2013,1,WA
70+,26,2013,2+,ACT
70+,1389,2013,2+,NSW
70+,6,2013,2+,NT
70+,1238,2013,2+,QLD
70+,413,2013,2+,SA
70+,64,2013,2+,TAS
70+,818,2013,2+,VIC
70+,213,2013,2+,WA
70+,5,2014,1,ACT
70+,62,2014,1,NSW
70+,6,2014,1,NT
70+,75,2014,1,QLD
70+,7,2014,1,SA
70+,4,2014,1,TAS
70+,133,2014,1,VIC
70+,23,2014,1,WA
70+,54,2014,2+,ACT
70+,1677,2014,2+,NSW
70+,19,2014,2+,NT
70+,1403,2014,2+,QLD
70+,526,2014,2+,SA
70+,148,2014,2+,TAS
70+,1142,2014,2+,VIC
70+,555,2014,2+,WA
70–74,6,2015,1,ACT
70–74,70,2015,1,NSW
70–74,2,2015,1,NT
70–74,73,2015,1,QLD
70–74,25,2015,1,SA
70–74,9,2015,1,TAS
70–74,63,2015,1,VIC
70–74,24,2015,1,WA
70–74,54,2015,2+,ACT
70–74,1692,2015,2+,NSW
70–74,15,2015,2+,NT
70–74,1047,2015,2+,QLD
70–74,483,2015,2+,SA
70–74,98,2015,2+,TAS
70–74,1020,2015,2+,VIC
70–74,280,2015,2+,WA
70–74,4,2016,1,ACT
70–74,127,2016,1,NSW
70–74,1,2016,1,NT
70–74,107,2016,1,QLD
70–74,17,2016,1,SA
70–74,2,2016,1,TAS
70–74,50,2016,1,VIC
70–74,19,2016,1,WA
70–74,66,2016,2+,ACT
70–74,1424,2016,2+,NSW
70–74,14,2016,2+,NT
70–74,1180,2016,2+,QLD
70–74,577,2016,2+,SA
70–74,146,2016,2+,TAS
70–74,1094,2016,2+,VIC
70–74,463,2016,2+,WA
70–74,3,2017,1,ACT
70–74,91,2017,1,NSW
70–74,4,2017,1,NT
70–74,85,2017,1,QLD
70–74,21,2017,1,SA
70–74,9,2017,1,TAS
70–74,74,2017,1,VIC
70–74,13,2017,1,WA
70–74,72,2017,2+,ACT
70–74,1488,2017,2+,NSW
70–74,20,2017,2+,NT
70–74,1189,2017,2+,QLD
70–74,612,2017,2+,SA
70–74,101,2017,2+,TAS
70–74,1195,2017,2+,VIC
70–74,404,2017,2+,WA
75+,1,2015,1,ACT
75+,32,2015,1,NSW
75+,2,2015,1,NT
75+,26,2015,1,QLD
75+,5,2015,1,SA
75+,1,2015,1,TAS
75+,16,2015,1,VIC
75+,4,2015,1,WA
75+,20,2015,2+,ACT
75+,392,2015,2+,NSW
75+,5,2015,2+,NT
75+,372,2015,2+,QLD
75+,163,2015,2+,SA
75+,10,2015,2+,TAS
75+,289,2015,2+,VIC
75+,127,2015,2+,WA
75+,2,2016,1,ACT
75+,29,2016,1,NSW
75+,0,2016,1,NT
75+,33,2016,1,QLD
75+,3,2016,1,SA
75+,1,2016,1,TAS
75+,7,2016,1,VIC
75+,10,2016,1,WA
75+,22,2016,2+,ACT
75+,395,2016,2+,NSW
75+,6,2016,2+,NT
75+,481,2016,2+,QLD
75+,160,2016,2+,SA
75+,18,2016,2+,TAS
75+,263,2016,2+,VIC
75+,162,2016,2+,WA
75+,2,2017,1,ACT
75+,22,2017,1,NSW
75+,0,2017,1,NT
75+,32,2017,1,QLD
75+,5,2017,1,SA
75+,1,2017,1,TAS
75+,17,2017,1,VIC
75+,3,2017,1,WA
75+,20,2017,2+,ACT
75+,358,2017,2+,NSW
75+,1,2017,2+,NT
75+,478,2017,2+,QLD
75+,212,2017,2+,SA
75+,14,2017,2+,TAS
75+,301,2017,2+,VIC
75+,157,2017,2+,WA
