AGE GROUP (YEARS),Cancer,NUM_WOMEN,Period,Screen,STATE
60–64,Invasive,4,2017,1,NT
60–64,Invasive,20,2017,1,QLD
60–64,Invasive,4,2017,1,SA
60–64,Invasive,4,2017,1,TAS
60–64,Invasive,29,2017,1,VIC
60–64,Invasive,9,2017,1,WA
60–64,Invasive,24,2017,2+,ACT
60–64,Invasive,310,2017,2+,NSW
60–64,Invasive,9,2017,2+,NT
60–64,Invasive,220,2017,2+,QLD
60–64,Invasive,80,2017,2+,SA
60–64,Invasive,24,2017,2+,TAS
60–64,Invasive,221,2017,2+,VIC
60–64,Invasive,111,2017,2+,WA
65–69,Invasive,39,2009,1,NSW
65–69,Invasive,17,2009,1,QLD
65–69,Invasive,3,2009,1,SA
65–69,Invasive,8,2009,1,VIC
65–69,Invasive,6,2009,1,WA
65–69,Invasive,21,2009,2+,ACT
65–69,Invasive,260,2009,2+,NSW
65–69,Invasive,189,2009,2+,QLD
65–69,Invasive,75,2009,2+,SA
65–69,Invasive,27,2009,2+,TAS
65–69,Invasive,197,2009,2+,VIC
65–69,Invasive,76,2009,2+,WA
65–69,Invasive,2,2010,1,ACT
65–69,Invasive,22,2010,1,NSW
65–69,Invasive,0,2010,1,NT
65–69,Invasive,9,2010,1,QLD
65–69,Invasive,3,2010,1,SA
65–69,Invasive,5,2010,1,TAS
65–69,Invasive,12,2010,1,VIC
65–69,Invasive,4,2010,1,WA
65–69,Invasive,15,2010,2+,ACT
65–69,Invasive,236,2010,2+,NSW
65–69,Invasive,3,2010,2+,NT
65–69,Invasive,198,2010,2+,QLD
65–69,Invasive,73,2010,2+,SA
65–69,Invasive,20,2010,2+,TAS
65–69,Invasive,219,2010,2+,VIC
65–69,Invasive,91,2010,2+,WA
65–69,Invasive,0,2011,1,ACT
65–69,Invasive,22,2011,1,NSW
65–69,Invasive,1,2011,1,NT
65–69,Invasive,5,2011,1,QLD
65–69,Invasive,2,2011,1,SA
65–69,Invasive,0,2011,1,TAS
65–69,Invasive,11,2011,1,VIC
65–69,Invasive,6,2011,1,WA
65–69,Invasive,19,2011,2+,ACT
65–69,Invasive,253,2011,2+,NSW
65–69,Invasive,5,2011,2+,NT
65–69,Invasive,175,2011,2+,QLD
65–69,Invasive,75,2011,2+,SA
65–69,Invasive,15,2011,2+,TAS
65–69,Invasive,221,2011,2+,VIC
65–69,Invasive,84,2011,2+,WA
65–69,Invasive,3,2012,1,ACT
65–69,Invasive,28,2012,1,NSW
65–69,Invasive,0,2012,1,NT
65–69,Invasive,18,2012,1,QLD
65–69,Invasive,2,2012,1,SA
65–69,Invasive,2,2012,1,TAS
65–69,Invasive,8,2012,1,VIC
65–69,Invasive,2,2012,1,WA
65–69,Invasive,15,2012,2+,ACT
65–69,Invasive,291,2012,2+,NSW
65–69,Invasive,4,2012,2+,NT
65–69,Invasive,216,2012,2+,QLD
65–69,Invasive,49,2012,2+,SA
65–69,Invasive,23,2012,2+,TAS
65–69,Invasive,203,2012,2+,VIC
65–69,Invasive,108,2012,2+,WA
65–69,Invasive,9,2013,1,ACT
65–69,Invasive,35,2013,1,NSW
65–69,Invasive,1,2013,1,NT
65–69,Invasive,20,2013,1,QLD
65–69,Invasive,2,2013,1,SA
65–69,Invasive,3,2013,1,TAS
65–69,Invasive,10,2013,1,VIC
65–69,Invasive,3,2013,1,WA
65–69,Invasive,9,2013,2+,ACT
65–69,Invasive,317,2013,2+,NSW
65–69,Invasive,7,2013,2+,NT
65–69,Invasive,227,2013,2+,QLD
65–69,Invasive,92,2013,2+,SA
65–69,Invasive,25,2013,2+,TAS
65–69,Invasive,277,2013,2+,VIC
65–69,Invasive,111,2013,2+,WA
65–69,Invasive,0,2014,1,ACT
65–69,Invasive,18,2014,1,NSW
65–69,Invasive,0,2014,1,NT
65–69,Invasive,18,2014,1,QLD
65–69,Invasive,1,2014,1,SA
65–69,Invasive,4,2014,1,TAS
65–69,Invasive,17,2014,1,VIC
65–69,Invasive,4,2014,1,WA
65–69,Invasive,15,2014,2+,ACT
65–69,Invasive,354,2014,2+,NSW
65–69,Invasive,6,2014,2+,NT
65–69,Invasive,270,2014,2+,QLD
65–69,Invasive,113,2014,2+,SA
65–69,Invasive,31,2014,2+,TAS
65–69,Invasive,280,2014,2+,VIC
65–69,Invasive,110,2014,2+,WA
65–69,Invasive,1,2015,1,ACT
65–69,Invasive,25,2015,1,NSW
65–69,Invasive,0,2015,1,NT
65–69,Invasive,21,2015,1,QLD
65–69,Invasive,8,2015,1,SA
65–69,Invasive,8,2015,1,TAS
65–69,Invasive,10,2015,1,VIC
65–69,Invasive,1,2015,1,WA
65–69,Invasive,22,2015,2+,ACT
65–69,Invasive,351,2015,2+,NSW
65–69,Invasive,5,2015,2+,NT
65–69,Invasive,234,2015,2+,QLD
65–69,Invasive,113,2015,2+,SA
65–69,Invasive,32,2015,2+,TAS
65–69,Invasive,310,2015,2+,VIC
65–69,Invasive,123,2015,2+,WA
65–69,Invasive,2,2016,1,ACT
65–69,Invasive,23,2016,1,NSW
65–69,Invasive,0,2016,1,NT
65–69,Invasive,19,2016,1,QLD
65–69,Invasive,5,2016,1,SA
65–69,Invasive,2,2016,1,TAS
65–69,Invasive,14,2016,1,VIC
65–69,Invasive,8,2016,1,WA
65–69,Invasive,23,2016,2+,ACT
65–69,Invasive,380,2016,2+,NSW
65–69,Invasive,4,2016,2+,NT
65–69,Invasive,277,2016,2+,QLD
65–69,Invasive,127,2016,2+,SA
65–69,Invasive,27,2016,2+,TAS
65–69,Invasive,269,2016,2+,VIC
65–69,Invasive,109,2016,2+,WA
65–69,Invasive,2,2017,1,ACT
65–69,Invasive,31,2017,1,NSW
65–69,Invasive,1,2017,1,NT
65–69,Invasive,17,2017,1,QLD
65–69,Invasive,3,2017,1,SA
65–69,Invasive,4,2017,1,TAS
65–69,Invasive,22,2017,1,VIC
65–69,Invasive,2,2017,1,WA
65–69,Invasive,34,2017,2+,ACT
65–69,Invasive,398,2017,2+,NSW
65–69,Invasive,4,2017,2+,NT
65–69,Invasive,245,2017,2+,QLD
65–69,Invasive,106,2017,2+,SA
65–69,Invasive,25,2017,2+,TAS
65–69,Invasive,301,2017,2+,VIC
65–69,Invasive,139,2017,2+,WA
70+,Invasive,35,2009,1,NSW
70+,Invasive,0,2009,1,NT
70+,Invasive,16,2009,1,QLD
70+,Invasive,4,2009,1,VIC
70+,Invasive,3,2009,1,WA
70+,Invasive,9,2009,2+,ACT
70+,Invasive,127,2009,2+,NSW
70+,Invasive,199,2009,2+,QLD
70+,Invasive,52,2009,2+,SA
70+,Invasive,12,2009,2+,TAS
70+,Invasive,112,2009,2+,VIC
70+,Invasive,59,2009,2+,WA
70+,Invasive,0,2010,1,ACT
70+,Invasive,21,2010,1,NSW
70+,Invasive,0,2010,1,NT
70+,Invasive,10,2010,1,QLD
70+,Invasive,3,2010,1,SA
70+,Invasive,0,2010,1,TAS
70+,Invasive,4,2010,1,VIC
70+,Invasive,6,2010,1,WA
70+,Invasive,8,2010,2+,ACT
70+,Invasive,120,2010,2+,NSW
70+,Invasive,1,2010,2+,NT
70+,Invasive,224,2010,2+,QLD
70+,Invasive,65,2010,2+,SA
70+,Invasive,15,2010,2+,TAS
70+,Invasive,106,2010,2+,VIC
70+,Invasive,54,2010,2+,WA
70+,Invasive,0,2011,1,ACT
70+,Invasive,7,2011,1,NSW
70+,Invasive,0,2011,1,NT
70+,Invasive,11,2011,1,QLD
70+,Invasive,1,2011,1,SA
70+,Invasive,1,2011,1,TAS
70+,Invasive,1,2011,1,VIC
70+,Invasive,3,2011,1,WA
70+,Invasive,6,2011,2+,ACT
70+,Invasive,140,2011,2+,NSW
70+,Invasive,0,2011,2+,NT
70+,Invasive,239,2011,2+,QLD
70+,Invasive,63,2011,2+,SA
70+,Invasive,9,2011,2+,TAS
70+,Invasive,98,2011,2+,VIC
70+,Invasive,77,2011,2+,WA
70+,Invasive,0,2012,1,ACT
70+,Invasive,14,2012,1,NSW
70+,Invasive,0,2012,1,NT
70+,Invasive,3,2012,1,QLD
70+,Invasive,0,2012,1,SA
70+,Invasive,1,2012,1,TAS
70+,Invasive,4,2012,1,VIC
70+,Invasive,5,2012,1,WA
70+,Invasive,11,2012,2+,ACT
70+,Invasive,153,2012,2+,NSW
70+,Invasive,4,2012,2+,NT
70+,Invasive,221,2012,2+,QLD
70+,Invasive,57,2012,2+,SA
70+,Invasive,10,2012,2+,TAS
70+,Invasive,163,2012,2+,VIC
70+,Invasive,57,2012,2+,WA
70+,Invasive,8,2013,1,ACT
70+,Invasive,8,2013,1,NSW
70+,Invasive,0,2013,1,NT
70+,Invasive,9,2013,1,QLD
70+,Invasive,3,2013,1,SA
70+,Invasive,1,2013,1,TAS
70+,Invasive,7,2013,1,VIC
70+,Invasive,7,2013,1,WA
70+,Invasive,1,2013,2+,ACT
70+,Invasive,329,2013,2+,NSW
70+,Invasive,2,2013,2+,NT
70+,Invasive,233,2013,2+,QLD
70+,Invasive,84,2013,2+,SA
70+,Invasive,29,2013,2+,TAS
70+,Invasive,167,2013,2+,VIC
70+,Invasive,80,2013,2+,WA
70+,Invasive,0,2014,1,ACT
70+,Invasive,10,2014,1,NSW
70+,Invasive,1,2014,1,NT
70+,Invasive,12,2014,1,QLD
70+,Invasive,2,2014,1,SA
70+,Invasive,0,2014,1,TAS
70+,Invasive,22,2014,1,VIC
70+,Invasive,6,2014,1,WA
70+,Invasive,14,2014,2+,ACT
70+,Invasive,362,2014,2+,NSW
70+,Invasive,4,2014,2+,NT
70+,Invasive,296,2014,2+,QLD
70+,Invasive,108,2014,2+,SA
70+,Invasive,44,2014,2+,TAS
70+,Invasive,243,2014,2+,VIC
70+,Invasive,193,2014,2+,WA
70–74,Invasive,0,2015,1,ACT
70–74,Invasive,6,2015,1,NSW
70–74,Invasive,2,2015,1,NT
70–74,Invasive,7,2015,1,QLD
70–74,Invasive,5,2015,1,SA
70–74,Invasive,2,2015,1,TAS
70–74,Invasive,11,2015,1,VIC
70–74,Invasive,9,2015,1,WA
70–74,Invasive,12,2015,2+,ACT
70–74,Invasive,327,2015,2+,NSW
70–74,Invasive,5,2015,2+,NT
70–74,Invasive,222,2015,2+,QLD
70–74,Invasive,83,2015,2+,SA
70–74,Invasive,27,2015,2+,TAS
70–74,Invasive,244,2015,2+,VIC
70–74,Invasive,74,2015,2+,WA
70–74,Invasive,0,2016,1,ACT
70–74,Invasive,17,2016,1,NSW
70–74,Invasive,0,2016,1,NT
70–74,Invasive,13,2016,1,QLD
70–74,Invasive,1,2016,1,SA
70–74,Invasive,0,2016,1,TAS
70–74,Invasive,5,2016,1,VIC
70–74,Invasive,4,2016,1,WA
70–74,Invasive,18,2016,2+,ACT
70–74,Invasive,313,2016,2+,NSW
70–74,Invasive,4,2016,2+,NT
70–74,Invasive,220,2016,2+,QLD
70–74,Invasive,96,2016,2+,SA
70–74,Invasive,30,2016,2+,TAS
70–74,Invasive,251,2016,2+,VIC
70–74,Invasive,119,2016,2+,WA
70–74,Invasive,0,2017,1,ACT
70–74,Invasive,13,2017,1,NSW
70–74,Invasive,0,2017,1,NT
70–74,Invasive,12,2017,1,QLD
70–74,Invasive,5,2017,1,SA
70–74,Invasive,2,2017,1,TAS
70–74,Invasive,9,2017,1,VIC
70–74,Invasive,0,2017,1,WA
70–74,Invasive,16,2017,2+,ACT
70–74,Invasive,329,2017,2+,NSW
70–74,Invasive,2,2017,2+,NT
70–74,Invasive,253,2017,2+,QLD
70–74,Invasive,118,2017,2+,SA
70–74,Invasive,20,2017,2+,TAS
70–74,Invasive,236,2017,2+,VIC
70–74,Invasive,106,2017,2+,WA
75+,Invasive,0,2015,1,ACT
75+,Invasive,5,2015,1,NSW
75+,Invasive,0,2015,1,NT
75+,Invasive,6,2015,1,QLD
75+,Invasive,0,2015,1,SA
75+,Invasive,0,2015,1,TAS
75+,Invasive,4,2015,1,VIC
75+,Invasive,1,2015,1,WA
75+,Invasive,6,2015,2+,ACT
75+,Invasive,74,2015,2+,NSW
75+,Invasive,0,2015,2+,NT
75+,Invasive,83,2015,2+,QLD
75+,Invasive,29,2015,2+,SA
75+,Invasive,4,2015,2+,TAS
75+,Invasive,78,2015,2+,VIC
75+,Invasive,42,2015,2+,WA
75+,Invasive,2,2016,1,ACT
75+,Invasive,5,2016,1,NSW
75+,Invasive,0,2016,1,NT
75+,Invasive,6,2016,1,QLD
75+,Invasive,1,2016,1,SA
75+,Invasive,0,2016,1,TAS
75+,Invasive,0,2016,1,VIC
75+,Invasive,1,2016,1,WA
75+,Invasive,5,2016,2+,ACT
75+,Invasive,116,2016,2+,NSW
75+,Invasive,1,2016,2+,NT
75+,Invasive,120,2016,2+,QLD
75+,Invasive,31,2016,2+,SA
75+,Invasive,6,2016,2+,TAS
75+,Invasive,76,2016,2+,VIC
75+,Invasive,43,2016,2+,WA
75+,Invasive,1,2017,1,ACT
75+,Invasive,4,2017,1,NSW
75+,Invasive,0,2017,1,NT
75+,Invasive,4,2017,1,QLD
75+,Invasive,2,2017,1,SA
75+,Invasive,0,2017,1,TAS
75+,Invasive,7,2017,1,VIC
75+,Invasive,1,2017,1,WA
75+,Invasive,4,2017,2+,ACT
75+,Invasive,103,2017,2+,NSW
75+,Invasive,0,2017,2+,NT
75+,Invasive,114,2017,2+,QLD
75+,Invasive,41,2017,2+,SA
75+,Invasive,4,2017,2+,TAS
75+,Invasive,88,2017,2+,VIC
75+,Invasive,58,2017,2+,WA
40–44,Invasive <= 15mm,0,2009,1+,ACT
40–44,Invasive <= 15mm,9,2009,1+,NSW
40–44,Invasive <= 15mm,27,2009,1+,QLD
40–44,Invasive <= 15mm,7,2009,1+,WA
40–44,Invasive <= 15mm,1,2010,1+,ACT
40–44,Invasive <= 15mm,8,2010,1+,NSW
40–44,Invasive <= 15mm,1,2010,1+,NT
40–44,Invasive <= 15mm,16,2010,1+,QLD
40–44,Invasive <= 15mm,4,2010,1+,SA
40–44,Invasive <= 15mm,4,2010,1+,TAS
40–44,Invasive <= 15mm,3,2010,1+,VIC
40–44,Invasive <= 15mm,6,2010,1+,WA
40–44,Invasive <= 15mm,0,2011,1+,ACT
40–44,Invasive <= 15mm,7,2011,1+,NSW
40–44,Invasive <= 15mm,0,2011,1+,NT
40–44,Invasive <= 15mm,17,2011,1+,QLD
40–44,Invasive <= 15mm,0,2011,1+,SA
40–44,Invasive <= 15mm,4,2011,1+,TAS
40–44,Invasive <= 15mm,6,2011,1+,VIC
40–44,Invasive <= 15mm,4,2011,1+,WA
40–44,Invasive <= 15mm,0,2012,1+,ACT
40–44,Invasive <= 15mm,9,2012,1+,NSW
40–44,Invasive <= 15mm,0,2012,1+,NT
40–44,Invasive <= 15mm,15,2012,1+,QLD
40–44,Invasive <= 15mm,1,2012,1+,SA
40–44,Invasive <= 15mm,4,2012,1+,TAS
40–44,Invasive <= 15mm,8,2012,1+,VIC
40–44,Invasive <= 15mm,4,2012,1+,WA
40–44,Invasive <= 15mm,0,2013,1+,ACT
40–44,Invasive <= 15mm,9,2013,1+,NSW
40–44,Invasive <= 15mm,1,2013,1+,NT
40–44,Invasive <= 15mm,15,2013,1+,QLD
40–44,Invasive <= 15mm,4,2013,1+,SA
40–44,Invasive <= 15mm,3,2013,1+,TAS
40–44,Invasive <= 15mm,10,2013,1+,VIC
40–44,Invasive <= 15mm,9,2013,1+,WA
40–44,Invasive <= 15mm,1,2014,1+,ACT
40–44,Invasive <= 15mm,13,2014,1+,NSW
40–44,Invasive <= 15mm,0,2014,1+,NT
40–44,Invasive <= 15mm,20,2014,1+,QLD
40–44,Invasive <= 15mm,2,2014,1+,SA
40–44,Invasive <= 15mm,3,2014,1+,TAS
40–44,Invasive <= 15mm,14,2014,1+,VIC
40–44,Invasive <= 15mm,11,2014,1+,WA
40–44,Invasive <= 15mm,1,2015,1+,ACT
40–44,Invasive <= 15mm,12,2015,1+,NSW
40–44,Invasive <= 15mm,0,2015,1+,NT
40–44,Invasive <= 15mm,31,2015,1+,QLD
40–44,Invasive <= 15mm,0,2015,1+,SA
40–44,Invasive <= 15mm,4,2015,1+,TAS
40–44,Invasive <= 15mm,6,2015,1+,VIC
40–44,Invasive <= 15mm,7,2015,1+,WA
40–44,Invasive <= 15mm,0,2016,1+,ACT
40–44,Invasive <= 15mm,10,2016,1+,NSW
40–44,Invasive <= 15mm,0,2016,1+,NT
40–44,Invasive <= 15mm,17,2016,1+,QLD
40–44,Invasive <= 15mm,3,2016,1+,SA
40–44,Invasive <= 15mm,4,2016,1+,TAS
40–44,Invasive <= 15mm,11,2016,1+,VIC
40–44,Invasive <= 15mm,13,2016,1+,WA
40–44,Invasive <= 15mm,1,2017,1+,ACT
40–44,Invasive <= 15mm,14,2017,1+,NSW
40–44,Invasive <= 15mm,0,2017,1+,NT
40–44,Invasive <= 15mm,17,2017,1+,QLD
40–44,Invasive <= 15mm,5,2017,1+,SA
40–44,Invasive <= 15mm,2,2017,1+,TAS
40–44,Invasive <= 15mm,7,2017,1+,VIC
40–44,Invasive <= 15mm,7,2017,1+,WA
45–49,Invasive <= 15mm,0,2009,1+,ACT
45–49,Invasive <= 15mm,31,2009,1+,NSW
45–49,Invasive <= 15mm,63,2009,1+,QLD
45–49,Invasive <= 15mm,14,2009,1+,SA
45–49,Invasive <= 15mm,6,2009,1+,TAS
45–49,Invasive <= 15mm,15,2009,1+,VIC
45–49,Invasive <= 15mm,15,2009,1+,WA
45–49,Invasive <= 15mm,2,2010,1+,ACT
45–49,Invasive <= 15mm,29,2010,1+,NSW
45–49,Invasive <= 15mm,3,2010,1+,NT
45–49,Invasive <= 15mm,60,2010,1+,QLD
45–49,Invasive <= 15mm,9,2010,1+,SA
45–49,Invasive <= 15mm,5,2010,1+,TAS
45–49,Invasive <= 15mm,21,2010,1+,VIC
45–49,Invasive <= 15mm,20,2010,1+,WA
45–49,Invasive <= 15mm,3,2011,1+,ACT
45–49,Invasive <= 15mm,26,2011,1+,NSW
45–49,Invasive <= 15mm,0,2011,1+,NT
45–49,Invasive <= 15mm,53,2011,1+,QLD
45–49,Invasive <= 15mm,10,2011,1+,SA
45–49,Invasive <= 15mm,5,2011,1+,TAS
45–49,Invasive <= 15mm,20,2011,1+,VIC
45–49,Invasive <= 15mm,16,2011,1+,WA
45–49,Invasive <= 15mm,1,2012,1+,ACT
45–49,Invasive <= 15mm,30,2012,1+,NSW
45–49,Invasive <= 15mm,1,2012,1+,NT
45–49,Invasive <= 15mm,61,2012,1+,QLD
45–49,Invasive <= 15mm,4,2012,1+,SA
45–49,Invasive <= 15mm,5,2012,1+,TAS
45–49,Invasive <= 15mm,33,2012,1+,VIC
45–49,Invasive <= 15mm,17,2012,1+,WA
45–49,Invasive <= 15mm,1,2013,1+,ACT
45–49,Invasive <= 15mm,38,2013,1+,NSW
45–49,Invasive <= 15mm,1,2013,1+,NT
45–49,Invasive <= 15mm,54,2013,1+,QLD
45–49,Invasive <= 15mm,9,2013,1+,SA
45–49,Invasive <= 15mm,5,2013,1+,TAS
45–49,Invasive <= 15mm,20,2013,1+,VIC
45–49,Invasive <= 15mm,20,2013,1+,WA
45–49,Invasive <= 15mm,3,2014,1+,ACT
45–49,Invasive <= 15mm,24,2014,1+,NSW
45–49,Invasive <= 15mm,0,2014,1+,NT
45–49,Invasive <= 15mm,42,2014,1+,QLD
45–49,Invasive <= 15mm,8,2014,1+,SA
45–49,Invasive <= 15mm,6,2014,1+,TAS
45–49,Invasive <= 15mm,35,2014,1+,VIC
45–49,Invasive <= 15mm,23,2014,1+,WA
45–49,Invasive <= 15mm,0,2015,1+,ACT
45–49,Invasive <= 15mm,35,2015,1+,NSW
45–49,Invasive <= 15mm,1,2015,1+,NT
45–49,Invasive <= 15mm,54,2015,1+,QLD
45–49,Invasive <= 15mm,7,2015,1+,SA
45–49,Invasive <= 15mm,4,2015,1+,TAS
45–49,Invasive <= 15mm,20,2015,1+,VIC
45–49,Invasive <= 15mm,25,2015,1+,WA
45–49,Invasive <= 15mm,2,2016,1+,ACT
45–49,Invasive <= 15mm,21,2016,1+,NSW
45–49,Invasive <= 15mm,0,2016,1+,NT
45–49,Invasive <= 15mm,53,2016,1+,QLD
45–49,Invasive <= 15mm,10,2016,1+,SA
45–49,Invasive <= 15mm,6,2016,1+,TAS
45–49,Invasive <= 15mm,20,2016,1+,VIC
45–49,Invasive <= 15mm,12,2016,1+,WA
45–49,Invasive <= 15mm,2,2017,1+,ACT
45–49,Invasive <= 15mm,38,2017,1+,NSW
45–49,Invasive <= 15mm,1,2017,1+,NT
45–49,Invasive <= 15mm,53,2017,1+,QLD
45–49,Invasive <= 15mm,9,2017,1+,SA
45–49,Invasive <= 15mm,8,2017,1+,TAS
45–49,Invasive <= 15mm,22,2017,1+,VIC
45–49,Invasive <= 15mm,12,2017,1+,WA
50–54,Invasive <= 15mm,117,2009,1+,NSW
50–54,Invasive <= 15mm,3,2009,1+,NT
50–54,Invasive <= 15mm,104,2009,1+,QLD
50–54,Invasive <= 15mm,32,2009,1+,SA
50–54,Invasive <= 15mm,11,2009,1+,TAS
50–54,Invasive <= 15mm,82,2009,1+,VIC
50–54,Invasive <= 15mm,39,2009,1+,WA
50–54,Invasive <= 15mm,5,2010,1+,ACT
50–54,Invasive <= 15mm,105,2010,1+,NSW
50–54,Invasive <= 15mm,0,2010,1+,NT
50–54,Invasive <= 15mm,92,2010,1+,QLD
50–54,Invasive <= 15mm,35,2010,1+,SA
50–54,Invasive <= 15mm,11,2010,1+,TAS
50–54,Invasive <= 15mm,94,2010,1+,VIC
50–54,Invasive <= 15mm,41,2010,1+,WA
50–54,Invasive <= 15mm,7,2011,1+,ACT
50–54,Invasive <= 15mm,109,2011,1+,NSW
50–54,Invasive <= 15mm,1,2011,1+,NT
50–54,Invasive <= 15mm,79,2011,1+,QLD
50–54,Invasive <= 15mm,29,2011,1+,SA
50–54,Invasive <= 15mm,14,2011,1+,TAS
50–54,Invasive <= 15mm,112,2011,1+,VIC
50–54,Invasive <= 15mm,57,2011,1+,WA
50–54,Invasive <= 15mm,4,2012,1+,ACT
50–54,Invasive <= 15mm,129,2012,1+,NSW
50–54,Invasive <= 15mm,3,2012,1+,NT
50–54,Invasive <= 15mm,96,2012,1+,QLD
50–54,Invasive <= 15mm,38,2012,1+,SA
50–54,Invasive <= 15mm,12,2012,1+,TAS
50–54,Invasive <= 15mm,119,2012,1+,VIC
50–54,Invasive <= 15mm,49,2012,1+,WA
50–54,Invasive <= 15mm,8,2013,1+,ACT
50–54,Invasive <= 15mm,144,2013,1+,NSW
50–54,Invasive <= 15mm,1,2013,1+,NT
50–54,Invasive <= 15mm,107,2013,1+,QLD
50–54,Invasive <= 15mm,30,2013,1+,SA
50–54,Invasive <= 15mm,21,2013,1+,TAS
50–54,Invasive <= 15mm,124,2013,1+,VIC
50–54,Invasive <= 15mm,53,2013,1+,WA
50–54,Invasive <= 15mm,5,2014,1+,ACT
50–54,Invasive <= 15mm,148,2014,1+,NSW
50–54,Invasive <= 15mm,1,2014,1+,NT
50–54,Invasive <= 15mm,91,2014,1+,QLD
50–54,Invasive <= 15mm,39,2014,1+,SA
50–54,Invasive <= 15mm,7,2014,1+,TAS
50–54,Invasive <= 15mm,110,2014,1+,VIC
50–54,Invasive <= 15mm,44,2014,1+,WA
50–54,Invasive <= 15mm,10,2015,1+,ACT
50–54,Invasive <= 15mm,145,2015,1+,NSW
50–54,Invasive <= 15mm,1,2015,1+,NT
50–54,Invasive <= 15mm,83,2015,1+,QLD
50–54,Invasive <= 15mm,24,2015,1+,SA
50–54,Invasive <= 15mm,10,2015,1+,TAS
50–54,Invasive <= 15mm,109,2015,1+,VIC
50–54,Invasive <= 15mm,58,2015,1+,WA
50–54,Invasive <= 15mm,8,2016,1+,ACT
50–54,Invasive <= 15mm,145,2016,1+,NSW
50–54,Invasive <= 15mm,1,2016,1+,NT
50–54,Invasive <= 15mm,81,2016,1+,QLD
50–54,Invasive <= 15mm,38,2016,1+,SA
50–54,Invasive <= 15mm,11,2016,1+,TAS
50–54,Invasive <= 15mm,112,2016,1+,VIC
50–54,Invasive <= 15mm,47,2016,1+,WA
50–54,Invasive <= 15mm,11,2017,1+,ACT
50–54,Invasive <= 15mm,135,2017,1+,NSW
50–54,Invasive <= 15mm,3,2017,1+,NT
50–54,Invasive <= 15mm,88,2017,1+,QLD
50–54,Invasive <= 15mm,46,2017,1+,SA
50–54,Invasive <= 15mm,14,2017,1+,TAS
50–54,Invasive <= 15mm,117,2017,1+,VIC
50–54,Invasive <= 15mm,51,2017,1+,WA
55–59,Invasive <= 15mm,11,2009,1+,ACT
55–59,Invasive <= 15mm,144,2009,1+,NSW
55–59,Invasive <= 15mm,6,2009,1+,NT
55–59,Invasive <= 15mm,110,2009,1+,QLD
55–59,Invasive <= 15mm,42,2009,1+,SA
55–59,Invasive <= 15mm,8,2009,1+,TAS
55–59,Invasive <= 15mm,104,2009,1+,VIC
55–59,Invasive <= 15mm,47,2009,1+,WA
55–59,Invasive <= 15mm,7,2010,1+,ACT
55–59,Invasive <= 15mm,141,2010,1+,NSW
55–59,Invasive <= 15mm,8,2010,1+,NT
55–59,Invasive <= 15mm,112,2010,1+,QLD
55–59,Invasive <= 15mm,40,2010,1+,SA
55–59,Invasive <= 15mm,11,2010,1+,TAS
55–59,Invasive <= 15mm,117,2010,1+,VIC
55–59,Invasive <= 15mm,50,2010,1+,WA
55–59,Invasive <= 15mm,8,2011,1+,ACT
55–59,Invasive <= 15mm,136,2011,1+,NSW
55–59,Invasive <= 15mm,5,2011,1+,NT
55–59,Invasive <= 15mm,108,2011,1+,QLD
55–59,Invasive <= 15mm,29,2011,1+,SA
55–59,Invasive <= 15mm,16,2011,1+,TAS
55–59,Invasive <= 15mm,98,2011,1+,VIC
55–59,Invasive <= 15mm,49,2011,1+,WA
55–59,Invasive <= 15mm,10,2012,1+,ACT
55–59,Invasive <= 15mm,132,2012,1+,NSW
55–59,Invasive <= 15mm,2,2012,1+,NT
55–59,Invasive <= 15mm,101,2012,1+,QLD
55–59,Invasive <= 15mm,41,2012,1+,SA
55–59,Invasive <= 15mm,20,2012,1+,TAS
55–59,Invasive <= 15mm,103,2012,1+,VIC
55–59,Invasive <= 15mm,51,2012,1+,WA
55–59,Invasive <= 15mm,6,2013,1+,ACT
55–59,Invasive <= 15mm,147,2013,1+,NSW
55–59,Invasive <= 15mm,5,2013,1+,NT
55–59,Invasive <= 15mm,104,2013,1+,QLD
55–59,Invasive <= 15mm,38,2013,1+,SA
55–59,Invasive <= 15mm,12,2013,1+,TAS
55–59,Invasive <= 15mm,117,2013,1+,VIC
55–59,Invasive <= 15mm,55,2013,1+,WA
55–59,Invasive <= 15mm,11,2014,1+,ACT
55–59,Invasive <= 15mm,149,2014,1+,NSW
55–59,Invasive <= 15mm,4,2014,1+,NT
55–59,Invasive <= 15mm,131,2014,1+,QLD
55–59,Invasive <= 15mm,44,2014,1+,SA
55–59,Invasive <= 15mm,14,2014,1+,TAS
55–59,Invasive <= 15mm,106,2014,1+,VIC
55–59,Invasive <= 15mm,48,2014,1+,WA
55–59,Invasive <= 15mm,9,2015,1+,ACT
55–59,Invasive <= 15mm,158,2015,1+,NSW
55–59,Invasive <= 15mm,1,2015,1+,NT
55–59,Invasive <= 15mm,107,2015,1+,QLD
55–59,Invasive <= 15mm,51,2015,1+,SA
55–59,Invasive <= 15mm,12,2015,1+,TAS
55–59,Invasive <= 15mm,133,2015,1+,VIC
55–59,Invasive <= 15mm,50,2015,1+,WA
55–59,Invasive <= 15mm,11,2016,1+,ACT
55–59,Invasive <= 15mm,186,2016,1+,NSW
55–59,Invasive <= 15mm,2,2016,1+,NT
55–59,Invasive <= 15mm,107,2016,1+,QLD
