AGE GROUP (YEARS),Cancer,NUM_WOMEN,Period,Screen,STATE
70–74,DCIS,3,2017,1,VIC
70–74,DCIS,0,2017,1,WA
70–74,DCIS,4,2017,2+,ACT
70–74,DCIS,67,2017,2+,NSW
70–74,DCIS,0,2017,2+,NT
70–74,DCIS,53,2017,2+,QLD
70–74,DCIS,21,2017,2+,SA
70–74,DCIS,3,2017,2+,TAS
70–74,DCIS,47,2017,2+,VIC
70–74,DCIS,26,2017,2+,WA
75+,DCIS,0,2015,1,ACT
75+,DCIS,0,2015,1,NSW
75+,DCIS,0,2015,1,NT
75+,DCIS,0,2015,1,QLD
75+,DCIS,0,2015,1,SA
75+,DCIS,0,2015,1,TAS
75+,DCIS,0,2015,1,VIC
75+,DCIS,0,2015,1,WA
75+,DCIS,1,2015,2+,ACT
75+,DCIS,18,2015,2+,NSW
75+,DCIS,1,2015,2+,NT
75+,DCIS,15,2015,2+,QLD
75+,DCIS,8,2015,2+,SA
75+,DCIS,0,2015,2+,TAS
75+,DCIS,23,2015,2+,VIC
75+,DCIS,4,2015,2+,WA
75+,DCIS,0,2016,1,ACT
75+,DCIS,1,2016,1,NSW
75+,DCIS,0,2016,1,NT
75+,DCIS,2,2016,1,QLD
75+,DCIS,0,2016,1,SA
75+,DCIS,0,2016,1,TAS
75+,DCIS,0,2016,1,VIC
75+,DCIS,0,2016,1,WA
75+,DCIS,0,2016,2+,ACT
75+,DCIS,14,2016,2+,NSW
75+,DCIS,0,2016,2+,NT
75+,DCIS,17,2016,2+,QLD
75+,DCIS,10,2016,2+,SA
75+,DCIS,1,2016,2+,TAS
75+,DCIS,8,2016,2+,VIC
75+,DCIS,8,2016,2+,WA
75+,DCIS,0,2017,1,ACT
75+,DCIS,2,2017,1,NSW
75+,DCIS,0,2017,1,NT
75+,DCIS,0,2017,1,QLD
75+,DCIS,0,2017,1,SA
75+,DCIS,1,2017,1,TAS
75+,DCIS,0,2017,1,VIC
75+,DCIS,1,2017,1,WA
75+,DCIS,1,2017,2+,ACT
75+,DCIS,20,2017,2+,NSW
75+,DCIS,0,2017,2+,NT
75+,DCIS,20,2017,2+,QLD
75+,DCIS,8,2017,2+,SA
75+,DCIS,0,2017,2+,TAS
75+,DCIS,9,2017,2+,VIC
75+,DCIS,7,2017,2+,WA
